iter	Passed	Remaining
0	199	199288
1	238	118885
2	277	92125
3	319	79471
4	362	72124
5	413	68428
6	465	65978
7	517	64174
8	570	62843
9	619	61329
10	683	61461
11	734	60503
12	792	60187
13	849	59821
14	903	59314
15	954	58724
16	1013	58583
17	1066	58207
18	1118	57756
19	1169	57298
20	1225	57108
21	1274	56635
22	1326	56366
23	1378	56050
24	1437	56076
25	1490	55820
26	1538	55438
27	1591	55233
28	1643	55025
29	1692	54736
30	1741	54422
31	1790	54158
32	1840	53940
33	1892	53778
34	1949	53753
35	1996	53473
36	2049	53332
37	2097	53097
38	2144	52848
39	2191	52604
40	2242	52463
41	2294	52328
42	2347	52248
43	2401	52170
44	2462	52250
45	2518	52224
46	2563	51971
47	2614	51852
48	2665	51731
49	2715	51603
50	2767	51496
51	2817	51369
52	2867	51238
53	2916	51097
54	2965	50958
55	3011	50760
56	3060	50635
57	3107	50475
58	3157	50361
59	3213	50339
60	3262	50226
61	3313	50137
62	3367	50089
63	3421	50043
64	3480	50060
65	3525	49896
66	3576	49805
67	3630	49762
68	3685	49722
69	3738	49671
70	3788	49570
71	3837	49457
72	3888	49377
73	3940	49310
74	3988	49196
75	4038	49094
76	4090	49036
77	4140	48945
78	4191	48864
79	4240	48768
80	4288	48660
81	4337	48557
82	4391	48515
83	4450	48536
84	4503	48474
85	4548	48339
86	4600	48274
87	4651	48208
88	4704	48154
89	4754	48068
90	4804	47992
91	4859	47965
92	4912	47913
93	4966	47864
94	5018	47811
95	5066	47711
96	5114	47615
97	5164	47532
98	5214	47461
99	5261	47350
100	5305	47227
101	5352	47119
102	5405	47078
103	5464	47074
104	5514	47001
105	5566	46950
106	5612	46840
107	5664	46787
108	5713	46700
109	5757	46579
110	5805	46494
111	5855	46427
112	5903	46338
113	5949	46235
114	5998	46164
115	6058	46166
116	6110	46118
117	6165	46085
118	6215	46014
119	6265	45948
120	6309	45831
121	6357	45756
122	6416	45747
123	6466	45685
124	6516	45615
125	6571	45582
126	6622	45523
127	6671	45452
128	6726	45417
129	6774	45338
130	6828	45300
131	6889	45300
132	6945	45277
133	7000	45242
134	7055	45206
135	7105	45142
136	7159	45098
137	7207	45021
138	7259	44965
139	7307	44889
140	7361	44847
141	7427	44881
142	7481	44834
143	7534	44785
144	7588	44745
145	7642	44704
146	7691	44631
147	7740	44559
148	7793	44509
149	7843	44449
150	7895	44390
151	7952	44365
152	8004	44310
153	8053	44243
154	8102	44171
155	8157	44134
156	8210	44087
157	8263	44035
158	8314	43976
159	8364	43911
160	8421	43888
161	8474	43836
162	8520	43753
163	8575	43713
164	8626	43654
165	8673	43574
166	8721	43503
167	8771	43442
168	8823	43388
169	8877	43344
170	8927	43281
171	8975	43208
172	9025	43144
173	9064	43032
174	9113	42964
175	9160	42887
176	9208	42816
177	9253	42733
178	9298	42650
179	9344	42570
180	9400	42536
181	9455	42499
182	9508	42450
183	9562	42406
184	9610	42337
185	9659	42271
186	9709	42214
187	9763	42168
188	9809	42093
189	9860	42038
190	9910	41978
191	9958	41910
192	10008	41850
193	10053	41769
194	10100	41696
195	10147	41625
196	10196	41561
197	10246	41503
198	10294	41438
199	10339	41359
200	10394	41318
201	10447	41274
202	10495	41207
203	10545	41147
204	10593	41080
205	10640	41012
206	10690	40955
207	10740	40896
208	10793	40849
209	10844	40794
210	10900	40759
211	10951	40707
212	11002	40651
213	11052	40596
214	11109	40562
215	11162	40515
216	11210	40451
217	11258	40385
218	11304	40313
219	11347	40232
220	11391	40154
221	11440	40093
222	11485	40017
223	11533	39954
224	11578	39880
225	11624	39811
226	11669	39739
227	11714	39664
228	11759	39592
229	11799	39501
230	11847	39441
231	11893	39371
232	11941	39309
233	11985	39234
234	12029	39159
235	12068	39069
236	12106	38976
237	12149	38898
238	12194	38829
239	12252	38800
240	12320	38800
241	12370	38746
242	12424	38703
243	12471	38640
244	12515	38568
245	12552	38474
246	12595	38399
247	12638	38323
248	12677	38236
249	12727	38181
250	12770	38106
251	12816	38043
252	12866	37989
253	12918	37941
254	12960	37865
255	13000	37781
256	13036	37689
257	13075	37605
258	13111	37511
259	13148	37423
260	13184	37330
261	13220	37240
262	13257	37151
263	13294	37062
264	13328	36967
265	13372	36901
266	13413	36824
267	13451	36740
268	13494	36670
269	13541	36613
270	13575	36519
271	13612	36432
272	13650	36351
273	13688	36270
274	13728	36192
275	13766	36111
276	13807	36040
277	13849	35968
278	13889	35893
279	13927	35814
280	13965	35733
281	14003	35654
282	14045	35585
283	14085	35512
284	14123	35432
285	14160	35352
286	14198	35274
287	14232	35185
288	14269	35105
289	14309	35034
290	14354	34973
291	14396	34907
292	14436	34836
293	14478	34768
294	14519	34700
295	14558	34625
296	14599	34557
297	14640	34487
298	14681	34420
299	14723	34354
300	14763	34285
301	14803	34214
302	14842	34142
303	14878	34063
304	14915	33988
305	14953	33914
306	14988	33834
307	15024	33757
308	15061	33680
309	15098	33606
310	15133	33527
311	15168	33449
312	15203	33370
313	15241	33299
314	15278	33224
315	15312	33144
316	15353	33080
317	15393	33013
318	15430	32940
319	15464	32862
320	15499	32786
321	15536	32712
322	15571	32636
323	15606	32561
324	15641	32486
325	15677	32413
326	15711	32336
327	15746	32260
328	15780	32184
329	15817	32113
330	15853	32041
331	15888	31969
332	15925	31898
333	15961	31826
334	15999	31760
335	16034	31687
336	16071	31618
337	16107	31547
